NCM,NCM_DESCRICAO_ORIGINAL,NCM_DESCRICAO_HIERARQUICA
02071424,Carne mecanicamente separada,Carnes e miudezas - Carnes e miudezas comestíveis de aves - Carne mecanicamente separada
02071429,Outros,Carnes e miudezas - Carnes e miudezas comestíveis de aves - Outros
02071431,Fígados,Carnes e miudezas - Carnes e miudezas comestíveis de aves - Fígados
02071432,Moelas,Carnes e miudezas - Carnes e miudezas comestíveis de aves - Moelas
02071433,Corações,Carnes e miudezas - Carnes e miudezas comestíveis de aves - Corações
02071434,Pés e patas,Carnes e miudezas - Carnes e miudezas comestíveis de aves - Pés e patas
02071439,Outras,Carnes e miudezas - Carnes e miudezas comestíveis de aves - Outras
02072400,"-- Não cortadas em pedaços, frescas ou refrigeradas","Carnes e miudezas - Carnes e miudezas comestíveis de aves - Não cortadas em pedaços, frescas ou refrigeradas"
02072500,"-- Não cortadas em pedaços, congeladas","Carnes e miudezas - Carnes e miudezas comestíveis de aves - Não cortadas em pedaços, congeladas"
02072600,"-- Pedaços e miudezas, frescos ou refrigerados","Carnes e miudezas - Carnes e miudezas comestíveis de aves - Pedaços e miudezas, frescos ou refrigerados"
02072700,"-- Pedaços e miudezas, congelados","Carnes e miudezas - Carnes e miudezas comestíveis de aves - Pedaços e miudezas, congelados"
02074100,"-- Não cortadas em pedaços, frescas ou refrigeradas","Carnes e miudezas - Carnes e miudezas comestíveis de aves - Não cortadas em pedaços, frescas ou refrigeradas"
02074200,"-- Não cortadas em pedaços, congeladas","Carnes e miudezas - Carnes e miudezas comestíveis de aves - Não cortadas em pedaços, congeladas"
02074300,"-- Fígados gordos (foies gras), frescos ou refrigerados","Carnes e miudezas - Carnes e miudezas comestíveis de aves - Fígados gordos (foies gras), frescos ou refrigerados"
02074400,"-- Outras, frescas ou refrigeradas","Carnes e miudezas - Carnes e miudezas comestíveis de aves - Outras, frescas ou refrigeradas"
02074500,"-- Outras, congeladas","Carnes e miudezas - Carnes e miudezas comestíveis de aves - Outras, congeladas"
02075100,"-- Não cortadas em pedaços, frescas ou refrigeradas","Carnes e miudezas - Carnes e miudezas comestíveis de aves - Não cortadas em pedaços, frescas ou refrigeradas"
02075200,"-- Não cortadas em pedaços, congeladas","Carnes e miudezas - Carnes e miudezas comestíveis de aves - Não cortadas em pedaços, congeladas"
02075300,"-- Fígados gordos (foies gras), frescos ou refrigerados","Carnes e miudezas - Carnes e miudezas comestíveis de aves - Fígados gordos (foies gras), frescos ou refrigerados"
02075400,"-- Outras, frescas ou refrigeradas","Carnes e miudezas - Carnes e miudezas comestíveis de aves - Outras, frescas ou refrigeradas"
02075500,"-- Outras, congeladas","Carnes e miudezas - Carnes e miudezas comestíveis de aves - Outras, congeladas"
02076000,- De galinhas-d'angola (pintadas),Carnes e miudezas - Carnes e miudezas comestíveis de aves - De galinhas-d'angola (pintadas)
02081000,- De coelhos ou lebres,"Carnes e miudezas - Outras carnes e miudezas comestíveis frescas, refrigeradas ou congeladas - De coelhos ou lebres"
02083000,- De primatas,"Carnes e miudezas - Outras carnes e miudezas comestíveis frescas, refrigeradas ou congeladas - De primatas"
02084000,"- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos
(mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da
subordem Pinnipedia)","Carnes e miudezas - Outras carnes e miudezas comestíveis frescas, refrigeradas ou congeladas - De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos
(mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da
subordem Pinnipedia)"
02085000,- De répteis (incluindo as serpentes e as tartarugas marinhas),"Carnes e miudezas - Outras carnes e miudezas comestíveis frescas, refrigeradas ou congeladas - De répteis (incluindo as serpentes e as tartarugas marinhas)"
02086000,- De camelos e outros camelídeos (Camelidae),"Carnes e miudezas - Outras carnes e miudezas comestíveis frescas, refrigeradas ou congeladas - De camelos e outros camelídeos (Camelidae)"
02089000,- Outras,"Carnes e miudezas - Outras carnes e miudezas comestíveis frescas, refrigeradas ou congeladas - Outras"
02091011,"Fresco, refrigerado ou congelado","Carnes e miudezas - Toucinho sem partes magras, gorduras de porco e de aves - Fresco, refrigerado ou congelado"
02091019,Outros,"Carnes e miudezas - Toucinho sem partes magras, gorduras de porco e de aves - Outros"
02091021,"Fresca, refrigerada ou congelada","Carnes e miudezas - Toucinho sem partes magras, gorduras de porco e de aves - Fresca, refrigerada ou congelada"
02091029,Outras,"Carnes e miudezas - Toucinho sem partes magras, gorduras de porco e de aves - Outras"
02099000,- Outros,"Carnes e miudezas - Toucinho sem partes magras, gorduras de porco e de aves - Outros"
02101100,"-- Pernas, pás e respectivos pedaços, não desossados","Carnes e miudezas - Carnes e miudezas comestíveis salgadas, em salmoura, secas ou defumadas - Pernas, pás e respectivos pedaços, não desossados"
02101200,-- Toucinhos entremeados (Barrigas (entremeadas)*) e seus pedaços,"Carnes e miudezas - Carnes e miudezas comestíveis salgadas, em salmoura, secas ou defumadas - Toucinhos entremeados (Barrigas (entremeadas)*) e seus pedaços"
02101900,-- Outras,"Carnes e miudezas - Carnes e miudezas comestíveis salgadas, em salmoura, secas ou defumadas - Outras"
02102000,- Carnes da espécie bovina,"Carnes e miudezas - Carnes e miudezas comestíveis salgadas, em salmoura, secas ou defumadas - Carnes da espécie bovina"
02109100,-- De primatas,"Carnes e miudezas - Carnes e miudezas comestíveis salgadas, em salmoura, secas ou defumadas - De primatas"
02109100,Miudezas; farinhas e pós dessas miudezas,"Carnes e miudezas - Carnes e miudezas comestíveis salgadas, em salmoura, secas ou defumadas - Miudezas; farinhas e pós dessas miudezas"
02109200,"-- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia)","Carnes e miudezas - Carnes e miudezas comestíveis salgadas, em salmoura, secas ou defumadas - De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia)"
02109200,Miudezas; farinhas e pós dessas miudezas,"Carnes e miudezas - Carnes e miudezas comestíveis salgadas, em salmoura, secas ou defumadas - Miudezas; farinhas e pós dessas miudezas"
02109300,-- De répteis (incluindo as serpentes e as tartarugas marinhas),"Carnes e miudezas - Carnes e miudezas comestíveis salgadas, em salmoura, secas ou defumadas - De répteis (incluindo as serpentes e as tartarugas marinhas)"
02109300,Miudezas; farinhas e pós dessas miudezas,"Carnes e miudezas - Carnes e miudezas comestíveis salgadas, em salmoura, secas ou defumadas - Miudezas; farinhas e pós dessas miudezas"
02109911,De galos e de galinhas,"Carnes e miudezas - Carnes e miudezas comestíveis salgadas, em salmoura, secas ou defumadas - De galos e de galinhas"
02109919,Outras,"Carnes e miudezas - Carnes e miudezas comestíveis salgadas, em salmoura, secas ou defumadas - Outras"
02109920,Carnes da espécie ovina,"Carnes e miudezas - Carnes e miudezas comestíveis salgadas, em salmoura, secas ou defumadas - Carnes da espécie ovina"
02109930,Carnes da espécie cavalar,"Carnes e miudezas - Carnes e miudezas comestíveis salgadas, em salmoura, secas ou defumadas - Carnes da espécie cavalar"
02109940,Miudezas comestíveis,"Carnes e miudezas - Carnes e miudezas comestíveis salgadas, em salmoura, secas ou defumadas - Miudezas comestíveis"
02109990,Outras,"Carnes e miudezas - Carnes e miudezas comestíveis salgadas, em salmoura, secas ou defumadas - Outras"
02109990,Farinhas e pós das miudezas do código 0210.99.40,"Carnes e miudezas - Carnes e miudezas comestíveis salgadas, em salmoura, secas ou defumadas - Farinhas e pós das miudezas do código 0210.99.40"
03011110,Aruanã (Osteoglossum bicirrhosum),Aruanã (Osteoglossum bicirrhosum)
03011190,Outros,Peixes e crustáceos - Peixes vivos - Outros
03011900,-- Outros,Peixes e crustáceos - Peixes vivos - Outros
03019110,Para reprodução,Peixes e crustáceos - Peixes vivos - Para reprodução
03019190,Outras,Peixes e crustáceos - Peixes vivos - Outras
